CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),Women's?,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,,
Charleston,Brittlebank Park,SC,US,2018-01-20,about 2000; about 3500,2000,,3500,,,"Indivisible Charleston and Women's March on Washington - South Carolina, Women's March on Washington - South Carolina",Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/261875177676684/,http://www.wbtv.com/story/37311063/thousands-rally-for-electoral-justice-celebrate-womens-march-in-charleston,https://www.postandcourier.com/news/one-year-after-trump-s-inauguration-second-women-s-march/article_e18ce1f4-fe28-11e7-948d-53772fb02991.html,,,,,
Charleston,State Capitol,WV,US,2018-01-20,roughly 100,100,,100,,,West Virginia National Organization for Women,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,http://www.register-herald.com/news/women-s-march-anniversary-events-set-for-this-weekend/article_c9da4fd0-fbd8-11e7-8034-6b4703d49c80.html,https://www.wvgazettemail.com/news/politics/citizens-activists-gather-at-wv-capitol-for-women-s-rally/article_f28d9454-1d77-59ac-9fdc-c3fbf1c37aa8.html,,,,,,
Chattanooga,Coolidge Park,TN ,US,2018-01-20,"thousands; an estimated 3,000 people",2000,,3000,,,Chattanooga Women's March 2018,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/1531901463593817/,http://www.timesfreepress.com/news/local/story/2018/jan/20/thousands-demonstrators-take-part-womens-marc/461722/,,,,,,
Cheyenne,Cheyenne Depot Plaza,WY,US,2018-01-20,"750 to 1,000; 500 give or take",500,,1000,,,Wyoming Women March For Equality,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/191437214745593/,https://www.wyomingnews.com/news/local_news/hundreds-march-in-cheyenne-to-show-solidarity-during-trump-administration/article_74d805ae-fe76-11e7-8151-9b2b35834c33.html,http://kgab.com/hundreds-join-wyoming-womens-march-in-cheyenne-video/,,,,,
Chicago,Downtown,IL,US,2018-01-20,"thousands; estimated crowd 300,000",200000,,300000,,,Women's March Chicago,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/1125978860870077/,http://abc7chicago.com/politics/about-300k-attend-2nd-womens-march-chicago-exceeding-last-year-organizers-say/2970801/,http://www.chicagotribune.com/news/local/breaking/ct-met-womens-march-draws-thousands-012018-story.html,,,,,
Chico,downtown plaza,CA,US,2018-01-20,"thousands; estimated 5,000",2000,,5000,,,Women's March on Chico,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/512300375818717/,http://media.chicoer.com/2018/01/20/photos-womens-march-on-chico-2018/#1,https://www.sfgate.com/bayarea/article/Bay-Area-women-march-to-oppose-Trump-and-his-12512328.php,,,,,
Cincinnati,National Underground Railroad Freedom Center,OH,US,2018-01-20,estimated 10000; estimated 10000 to 12000,10000,,12000,,,United We Stand Cincinnati,Empower Voters to Support Women's Rights,1,1,march,0,0,0,0,1,1,https://www.facebook.com/events/134129797272058/permalink/137580580260313/,https://www.cincinnati.com/story/news/politics/2018/01/20/cincinnati-womens-march-latest-updates/1047797001/,https://www.wcpo.com/news/local-news/hamilton-county/cincinnati/thousands-of-activists-march-for-different-causes-downtown,,,,,
Cleveland,Public Square; city hall,OH,US,2018-01-20,na,7000,,7000,,,Women’s March Northeast Ohio,Empower Voters to Support Women's Rights,1,1,march; rally,0,0,0,0,1,1,https://www.news5cleveland.com/news/local-news/oh-cuyahoga/second-annual-womens-march-in-cleveland-expected-to-attract-thousands,http://www.cleveland19.com/story/37310028/thousands-gather-for-womens-march-in-cleveland,,,,,,
Cobleskill,"Veteran's Park, Main & Grand",NY,US,2018-01-20,na,368,,400,,,Rural Awakening,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/2016345475309506/,web form,,,,,,
Colorado Springs,All Souls Unitarian Universalist Church; Acacia Park,CO,US,2018-01-20,FB: 1000,1000,,1000,,,Colorado Springs Feminists,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/145750372716222/,http://gazette.com/colorado-springs-womens-march-moved-indoors-due-to-inclement-weather/article/1619424?custom_click=rss,,,,,,
Columbia,Boone County Courthouse,MO,US,2018-01-20,na; almost 2000,1650,,2000,,,Mid-Missouri Action Network,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/195920854310612/,http://www.themaneater.com/stories/campus/solidarity-march-and-rally-held-in-columbia-on-anniversary-of-first-women%E2%80%99s-march,http://www.columbiatribune.com/news/20180120/columbia-march-and-rally-marks-year-of-trump,,,,,
Columbus,Greater Columbus Convention Center,OH,US,2018-01-20,estimated 3000,3000,,3000,,,Women's March On Washington-Ohio Chapter and Socialist Alternative,Empower Voters to Support Women's Rights,1,1,march,0,0,0,0,1,1,https://www.facebook.com/events/149652625686319/,http://www.dispatch.com/news/20180120/thousands-turn-out-for-second-womens-march-in-columbus?rssfeed=true,,,,,,
Concord,State House,NH,US,2018-01-20,hundreds; more than 1000; ,1000,,1000,,,general protestors,Empower Voters to Support Women's Rights,1,1,march,0,0,0,0,1,1,http://www.concordmonitor.com/TogetherWeRise-CM-012118-15001936,https://www.usnews.com/news/best-states/new-hampshire/articles/2018-01-20/hassan-kuster-to-speak-at-new-hampshire-womens-march,,,,,,
Coos Bay,Coos Bay Boardwalk,OR,US,2018-01-20,FB: 138,138,,138,,,Indivisible of Coos County,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/1781421595265811/,,,,,,,
Cordova,Cordova Center,AK,US,2018-01-20,87,87,,87,,,Cordova Families for Social Justice,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://actionnetwork.org/events/cordova-families-for-social-justice-marchwomens-march-20,https://www.thecordovatimes.com/2018/01/22/cordova-joins-nationwide-voice-womens-march/,,,,,,
Cortez,Cortez City Park,CO,US,2018-01-20,more than 300,300,,300,,,Women's March: Power to the Polls Cortez,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/1478457255600075/,https://the-journal.com/articles/80526,https://the-journal.com/articles/81824-cortez-womens-march-encourages-cortez-residents-to-vote,,,,,
Corvallis,Central Park,OR,US,2018-01-20,over 3000,3000,,4000,,,Mid Willamette NOW and Corvallis Changemakers,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/159067498176591/,http://www.gazettetimes.com/news/local/corvallis-women-s-march-draws-thousands/article_616455e0-95fa-5cd1-b689-b68cee401dec.html,web form,,,,,
Creede,Kip's,CO,US,2018-01-20,FB: 1,1,,1,,,Indivisible Colorado Creede,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/163754961053772/,,,,,,,
